dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction,abs_coef
BC-Jackson2020,clinical_type,HR+HER2+,Tumor (CK7+),-1.0630363783931662,0.194526318952327,1.0,15,1.0,-1.0099228928044752,0.5279369466692535,-2.221807054592545,-0.1605150766279659,3000,0.9933333333333332,negative,negative,1.0630363783931662
BC-Jackson2020,clinical_type,HR+HER2+,Stroma (SMA hi Vimentin hi),-0.5691063463919063,0.3012293159271806,1.0,15,1.0,-0.6196553848622264,0.6273721524439794,-2.26423204938262,0.0,3000,0.8946666666666667,negative,crosses zero,0.5691063463919063
BC-Jackson2020,clinical_type,HR+HER2+,Tumor (Hypoxic),-0.5433676827123703,1.0677011998101478,0.8,15,1.0,-0.9557863647405412,1.3538404321186808,-4.557647593001404,0.2506636301654282,3000,0.8676666666666667,negative,crosses zero,0.5433676827123703
BC-Jackson2020,clinical_type,HR+HER2+,Tumor (CK+ HR hi),0.373225809330605,0.2012155789619399,1.0,15,1.0,0.2792625986794171,0.4496675304381302,-0.6575234190478234,1.0227069891354987,3000,0.8026666666666666,positive,crosses zero,0.373225809330605
BC-Jackson2020,clinical_type,HR+HER2+,Stroma (Small elongated),0.3061436879743848,0.1575096262875484,1.0,15,1.0,0.3687692527828248,0.343750348567656,-0.0946534193501581,1.170787016223764,3000,0.9243333333333332,positive,crosses zero,0.3061436879743848
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK+ HR lo),0.7927478640245166,0.7450358911027869,1.0,15,1.0,1.160074034601141,1.0389655209659914,0.0438454891409371,4.074771809958933,3000,0.986,positive,positive,0.7927478640245166
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK+ HR hi),0.7906598278327127,0.1079842905589271,1.0,15,1.0,0.8096729935622224,0.4485742431994576,0.1857279792640461,2.051388042367189,3000,0.9936666666666668,positive,positive,0.7906598278327127
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK7+),0.3395427502482671,0.2369317184841401,1.0,15,1.0,0.2990950364345779,0.3318001554949857,-0.0001544969535341,1.216967204112929,3000,0.896,positive,crosses zero,0.3395427502482671
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK7+ CK hi Ecadh hi),0.3334044316414185,0.1184590874980672,1.0,15,1.0,0.4102721445192945,0.3947044121111234,0.0,1.5934569399330574,3000,0.9333333333333332,positive,crosses zero,0.3334044316414185
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK lo HR hi p53+),0.2488942554007999,0.0807250068454677,1.0,15,1.0,0.2684654665280266,0.2796825979367469,-6.547419456717044e-08,1.0473329766525068,3000,0.9633333333333334,positive,crosses zero,0.2488942554007999
BC-Jackson2020,clinical_type,HR-HER2+,Tumor (CK+ HR lo),-2.814356139701476,1.1151057639465076,1.0,15,1.0,-2.382100348616343,1.8526083786834264,-6.864795322439645,0.0,3000,0.9316666666666666,negative,crosses zero,2.814356139701476
BC-Jackson2020,clinical_type,HR-HER2+,Tumor (CK7+),0.9906636681564442,0.3337387279780577,1.0,15,1.0,1.1743028766303896,0.4647752880999131,0.4934820900592584,2.2900554308189203,3000,0.999,positive,positive,0.9906636681564442
BC-Jackson2020,clinical_type,HR-HER2+,Tumor (CK+ HR hi),-0.8860828992666058,0.3021194105721236,1.0,15,1.0,-0.726280261012651,0.6527526805548057,-2.2387009555408444,0.0,3000,0.8626666666666667,negative,crosses zero,0.8860828992666058
BC-Jackson2020,clinical_type,HR-HER2+,Tumor (CK7+ CK hi Ecadh hi),-0.4061684725710063,0.1437233523699211,1.0,15,1.0,-0.3167234113760283,0.3539301158882434,-1.1998955854851616,0.0,3000,0.781,negative,crosses zero,0.4061684725710063
BC-Jackson2020,clinical_type,HR-HER2+,Tumor (Hypoxic),0.3267254439707517,0.0824033885767693,1.0,15,1.0,0.4729738232921865,0.3465304348329472,-0.0131324793301293,1.247346131168725,3000,0.9373333333333334,positive,crosses zero,0.3267254439707517
BC-Jackson2020,clinical_type,TripleNeg,Tumor (p53+ EGFR+),1.1335084186520237,0.4509989186388146,1.0,15,1.0,1.3248477057999897,1.0046030999986266,0.1920809221743026,3.948540375834487,3000,0.996,positive,positive,1.1335084186520237
BC-Jackson2020,clinical_type,TripleNeg,Tumor (CK lo HR lo),-1.0307974431948914,0.5641464237289363,1.0,15,1.0,-1.2538527013040517,1.122048050550302,-4.333628154988241,-0.0320439220880785,3000,0.9886666666666668,negative,negative,1.0307974431948914
BC-Jackson2020,clinical_type,TripleNeg,Tumor (Proliferative),0.3878706790046563,0.1127931400767849,1.0,15,1.0,0.4508113080493512,0.3694806932824273,0.0,1.3617407560333488,3000,0.9773333333333334,positive,crosses zero,0.3878706790046563
BC-Jackson2020,clinical_type,TripleNeg,Tumor (Apoptotic),0.3129386401673716,0.0832531488710876,1.0,15,1.0,0.3702599975998833,0.2841301980508607,-0.0038536992303752,1.05020390780518,3000,0.97,positive,crosses zero,0.3129386401673716
BC-Jackson2020,clinical_type,TripleNeg,Tumor (CK+ HR hi),-0.2755872090394259,0.2390001707560289,1.0,15,1.0,-0.3429839383757206,0.421931636741238,-1.3145042532553528,0.1514628658016827,3000,0.81,negative,crosses zero,0.2755872090394259
BC-Jackson2020,response,1,T & B cells,-0.6061429575495492,0.2844677838263205,1.0,15,1.0,-0.5950452813899526,0.5075514410988541,-1.9420248952452377,0.0,3000,0.9726666666666668,negative,crosses zero,0.6061429575495492
BC-Jackson2020,response,1,Tumor (Apoptotic),0.4957590935407138,0.1880504558886153,1.0,15,1.0,0.4782638199969056,0.4255707275954423,-0.2594079564497801,1.4742098528078686,3000,0.956,positive,crosses zero,0.4957590935407138
BC-Jackson2020,response,1,Tumor (Hypoxic),-0.485525003436381,0.4567951253663934,1.0,15,1.0,-0.6677064825333144,0.6388012422227572,-2.309231608241734,0.0,3000,0.9376666666666666,negative,crosses zero,0.485525003436381
BC-Jackson2020,response,1,Stroma (Fibronectin hi),-0.4473517448402356,0.1089565622853217,1.0,15,1.0,-0.5237450543901853,0.3290542271582432,-1.2452924603152524,0.0,3000,0.9703333333333334,negative,crosses zero,0.4473517448402356
BC-Jackson2020,response,1,Stroma (Large elongated),-0.3803139931060545,0.066529092951697,1.0,15,1.0,-0.458870367999817,0.2830026100339586,-1.1436096025953173,-0.0078406286277581,3000,0.9863333333333332,negative,negative,0.3803139931060545
BC-METABRIC-Ali2020,ER_status,1,HR- Ki67+,-3.5752455686122318,0.6999204450127933,1.0,15,1.0,-3.859749770118905,1.5842834618639388,-7.445767356927071,-1.4105198098995475,3000,1.0,negative,negative,3.5752455686122318
BC-METABRIC-Ali2020,ER_status,1,HR+ CK7-,1.0849341151290526,0.3158457707229469,1.0,15,1.0,1.267910603662487,1.109159291664117,0.0,4.426224170573642,3000,0.9583333333333334,positive,crosses zero,1.0849341151290526
BC-METABRIC-Ali2020,ER_status,1,HR- CK7+,-0.7332771355889859,0.1298236217306231,1.0,15,1.0,-0.8301061447296632,0.256468515685129,-1.3769912869939298,-0.3452849213195776,3000,0.9996666666666668,negative,negative,0.7332771355889859
BC-METABRIC-Ali2020,ER_status,1,HR- CKlow CK5+,0.500248802757056,0.2332446468647551,1.0,15,1.0,0.5965341699746667,0.538898925609499,-0.1288936550439084,1.87573695058194,3000,0.9233333333333332,positive,crosses zero,0.500248802757056
BC-METABRIC-Ali2020,ER_status,1,Hypoxia,-0.4643531732790468,0.1233113792954951,1.0,15,1.0,-0.4891746731610211,0.2822739329981061,-1.070786481885193,0.0,3000,0.9616666666666668,negative,crosses zero,0.4643531732790468
CRC-Schurch2020,CLR_DII,1,B cells,1.0670069063919467,0.5194407983844823,1.0,15,1.0,1.0289642871773497,0.7232882164323541,0.0,2.679244921349473,3000,0.9306666666666666,positive,crosses zero,1.0670069063919467
